year,territory,nationality,sector,men,women,total
2019,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,233.3,161.8,395.2
2019,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,402.3,182.6,584.9
2019,Total Nacional,Extranjera: Total,Agricultura,139.3,35.7,175.0
2019,Total Nacional,Extranjera: Total,Construcción,206.9,6.0,212.9
2019,Total Nacional,Extranjera: Total,Industria,176.7,64.4,241.2
2019,Total Nacional,Extranjera: Total,Servicios,779.4,991.6,1771.0
2019,Total Nacional,Extranjera: Total,Total,1302.2,1097.8,2400.1
2019,Total Nacional,Extranjera: Unión Europea,Agricultura,38.8,20.2,59.0
2019,Total Nacional,Extranjera: Unión Europea,Construcción,81.5,3.2,84.7
2019,Total Nacional,Extranjera: Unión Europea,Industria,82.4,36.7,119.0
2019,Total Nacional,Extranjera: Unión Europea,Servicios,299.4,382.2,681.6
2019,Total Nacional,Extranjera: Unión Europea,Total,502.1,442.3,944.3
2019,Total Nacional,Total,Agricultura,612.3,185.0,797.3
2019,Total Nacional,Total,Construcción,1163.7,114.1,1277.9
2019,Total Nacional,Total,Industria,2022.3,740.8,2763.1
2019,Total Nacional,Total,Servicios,6947.2,7993.8,14941.0
2019,Total Nacional,Total,Total,10745.6,9033.7,19779.3
2020,Total Nacional,Doble nacionalidad,Agricultura,11.2,3.8,15.0
2020,Total Nacional,Doble nacionalidad,Construcción,52.9,2.1,55.0
2020,Total Nacional,Doble nacionalidad,Industria,44.9,21.1,66.0
2020,Total Nacional,Doble nacionalidad,Servicios,217.4,342.9,560.3
2020,Total Nacional,Doble nacionalidad,Total,326.3,370.0,696.3
2020,Total Nacional,Española,Agricultura,449.8,139.3,589.1
2020,Total Nacional,Española,Construcción,891.5,94.3,985.8
2020,Total Nacional,Española,Industria,1731.7,649.9,2381.6
2020,Total Nacional,Española,Servicios,5774.1,6454.4,12228.5
2020,Total Nacional,Española,Total,8847.1,7337.9,16185.0
2020,Total Nacional,Extranjera: América Latina,Agricultura,24.5,4.6,29.1
2020,Total Nacional,Extranjera: América Latina,Construcción,61.8,2.0,63.9
2020,Total Nacional,Extranjera: América Latina,Industria,45.1,16.4,61.6
2020,Total Nacional,Extranjera: América Latina,Servicios,213.9,381.1,595.0
2020,Total Nacional,Extranjera: América Latina,Total,345.4,404.2,749.5
2020,Total Nacional,Extranjera: Resto de Europa,Agricultura,1.7,1.9,3.6
2020,Total Nacional,Extranjera: Resto de Europa,Construcción,17.8,0.4,18.1
2020,Total Nacional,Extranjera: Resto de Europa,Industria,12.4,4.2,16.6
