province_std,region,province_original,year,nationality,total_detentions
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Ecuador,590
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,Filipinas,20
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Francia,2180
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Gambia,0
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Ghana,30
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Guinea Bisau,0
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Guinea Ecuatorial,30
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Holanda,40
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,India,10
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,Irán,0
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Italia,90
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Lituania,80
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Mali,0
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Marruecos,3780
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Nigeria,20
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,Paquistán,50
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Paraguay,30
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Perú,190
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Polonia,90
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Portugal,760
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Reino Unido,70
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Rep. Dominicana,240
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Resto África,360
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Resto América,400
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,Resto de Asia,260
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Resto de Europa,430
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Rumanía,2370
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Rusia,100
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Senegal,90
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Ucrania,140
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Uruguay,30
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Venezuela,90
Araba,CONTINENTE EUROPEO,Araba/Álava,2012,Alemania,20
Araba,CONTINENTE AFRICANO,Araba/Álava,2012,Argelia,550
Araba,CONTINENTE AMERICANO,Araba/Álava,2012,Argentina,40
